CMS Certification Number (CCN);Facility Name;Address Line 1;Address Line 2;City;State;Zip Code;County Name;CMS Region;Measure Code;Score;Footnote;Start Date;End Date
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_CI_LOWER;0.619;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_CI_UPPER;3.178;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_COMP_PERF;No Different than the National Benchmark;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_DOPC_DAYS;3775;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_ELIGCASES;3.927;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_NUMERATOR;6;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_006_01_SIR;1.528;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_007_01_CI_LOWER;0.857;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_007_01_CI_UPPER;4.397;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_007_01_COMP_PERF;No Different than the National Benchmark;;01/01/2019;12/31/2019
12006;INFIRMARY LTAC HOSPITAL;5 MOBILE INFIRMARY CIRCLE;;MOBILE;AL;36607;Mobile;4;L_007_01_DOPC_DAYS;4326;;01/01/2019;12/31/2019
